desc,CPU,RAM,score,total_score
Write Report,25,278,24.827078892035374,75.51353944601769
Test Module,38,382,57.45178941981715,116.52589470990858
Update Script,71,349,70.37057960929727,126.28528980464863
Analyze Document,44,325,72.17627258871764,114.28813629435882
Fix API,29,369,12.57529369978245,88.78764684989122
Write Report,41,63,14.793849062831082,32.29692453141554
Test Module,40,475,29.921264874801505,121.96063243740075
Update Script,35,339,26.781230042529614,91.6906150212648
Analyze Document,59,195,57.6509889087082,85.5254944543541
Fix API,61,50,43.611911856280294,50.10595592814015
Write Report,43,248,67.84279957704832,96.42139978852416
Test Module,18,201,52.203169095637215,71.70158454781861
Update Script,22,399,54.04959102762231,113.42479551381116
Analyze Document,48,56,26.161821211296477,38.680910605648236
Fix API,11,100,53.8998811847546,50.2499405923773
Write Report,77,419,32.185038590135306,122.99251929506767
Test Module,72,187,69.70609161165964,93.85304580582982
Update Script,8,343,76.4009882397574,109.20049411987871
Analyze Document,57,436,76.1624106642856,142.3812053321428
Fix API,79,360,67.58832585686216,129.49416292843108
Write Report,46,276,15.352326614264438,76.67616330713221
Test Module,14,155,68.7329920639253,69.56649603196266
Update Script,17,280,52.52960229611017,87.36480114805508
Analyze Document,37,388,13.981212944342882,95.69060647217144
Fix API,29,107,50.889804855602314,55.54490242780116
Write Report,58,483,78.54943474977183,153.2747173748859
Test Module,10,306,50.48295265002409,89.44147632501205
Update Script,36,268,42.0918611923907,85.44593059619535
Analyze Document,53,496,72.88244929953767,151.54122464976882
Fix API,28,465,60.103017624113235,131.45150881205663
Write Report,66,484,31.40625772320964,132.30312886160482
Test Module,27,475,29.00499653456618,117.60249826728308
Update Script,63,246,57.84821711704091,97.02410855852045
Analyze Document,62,229,39.29648380421921,84.04824190210961
Fix API,19,331,26.923786953503082,85.36189347675155
Write Report,36,466,33.37799352071334,120.68899676035667
Test Module,64,425,34.760250746574265,121.58012537328713
Update Script,20,60,17.613366111098472,26.806683055549236
Analyze Document,70,379,69.49054158737414,131.54527079368705
Fix API,12,186,14.40544281810627,48.00272140905314
Write Report,14,247,23.811962562875106,65.50598128143756
Test Module,44,183,12.926799794852446,56.26339989742622
Update Script,63,221,24.037040175726602,75.1185200878633
Analyze Document,76,72,10.30721920780272,42.35360960390136
Fix API,70,208,12.738242503946925,68.96912125197346
Write Report,31,181,27.603137668249243,59.30156883412462
Test Module,49,73,64.89247347154966,61.74623673577483
Update Script,77,229,61.05690895489673,99.42845447744837
Analyze Document,53,487,21.105875216683344,123.85293760834168
Fix API,70,327,48.24922537152383,110.52461268576192
Write Report,20,110,24.807162986106444,40.403581493053224
Test Module,61,390,11.498474373960045,102.04923718698002
Update Script,26,396,17.1448873627539,95.57244368137695
Analyze Document,49,331,58.69060122247974,110.24530061123988
Fix API,17,100,16.297338259192873,33.248669129596436
Write Report,64,314,10.880987819025194,87.4404939095126
Test Module,50,373,15.29889962825019,97.2494498141251
Update Script,36,375,16.755596633863746,94.17779831693187
Analyze Document,49,164,31.840010319218404,63.420005159609204
Fix API,38,295,70.02180770161984,105.41090385080992
Write Report,11,194,70.32484165349078,77.2624208267454
Test Module,51,220,66.19413152049893,92.39706576024946
Update Script,40,194,17.849578666400376,59.72478933320019
Analyze Document,23,138,24.046377652332158,46.52318882616608
Fix API,52,301,68.48956653088939,110.04478326544469
Write Report,68,92,61.0367073915792,69.3183536957896
Test Module,73,295,48.034152339126585,104.9170761695633
Update Script,59,282,51.678010660273806,99.93900533013691
Analyze Document,8,96,31.141461762700217,37.17073088135011
Fix API,38,210,54.23369921256512,80.51684960628256
Write Report,73,194,72.20024162462491,96.80012081231246
Test Module,44,268,56.166475475801874,94.88323773790094
Update Script,27,392,54.63499542892979,113.81749771446489
Analyze Document,74,350,78.60320327135727,131.50160163567864
Fix API,42,233,36.233042455283126,77.31652122764157
Write Report,46,278,77.54287381393458,108.1714369069673
Test Module,79,253,58.68435047935937,103.64217523967969
Update Script,53,54,69.83878536103258,61.619392680516285
Analyze Document,13,436,34.343993064404756,108.2719965322024
Fix API,29,416,24.891091964182884,104.34554598209145
Write Report,24,367,62.72750957635145,111.96375478817573
Test Module,30,118,20.608811951405933,42.90440597570297
Update Script,50,304,28.044717576311722,89.82235878815587
Analyze Document,61,472,29.17945240518437,127.28972620259219
Fix API,71,115,45.499153831509545,67.04957691575477
Write Report,31,223,45.70700243265462,76.75350121632731
Test Module,64,57,14.426856699802457,37.81342834990123
Update Script,47,153,40.67724725561358,65.0386236278068
Analyze Document,64,267,46.9535987450291,96.07679937251456
Fix API,37,408,37.549239726306766,111.47461986315338
Write Report,55,101,76.46652561919095,74.93326280959548
Test Module,42,285,57.77135395287321,98.4856769764366
Update Script,48,382,42.502427699441505,112.05121384972077
Analyze Document,78,254,24.518880174826535,86.45944008741327
Fix API,40,395,65.04014180142661,123.5200709007133
Write Report,35,309,57.96027222131147,101.28013611065575
Test Module,79,212,31.803907234149708,82.00195361707486
Update Script,52,413,46.04723544112781,121.22361772056391
Analyze Document,41,499,46.79834755809527,135.49917377904765
Fix API,63,379,62.28533978377191,125.84266989188595
Write Report,40,364,71.3529326845267,120.47646634226335
Test Module,69,160,41.178033547709795,73.2890167738549
Update Script,17,112,76.56801112571101,65.7840055628555
Analyze Document,58,136,67.95323438487918,78.57661719243958
Fix API,55,394,39.29097430713358,114.9454871535668
Write Report,33,254,10.228046067890592,65.8140230339453
Test Module,34,55,74.64794310311073,58.52397155155536
Update Script,12,368,10.339931528058806,82.3699657640294
Analyze Document,47,354,53.47246381230525,111.63623190615262
Fix API,40,133,59.951266816020116,68.57563340801006
Write Report,65,77,13.248187329221457,41.524093664610724
Test Module,51,483,64.01883023003481,143.9094151150174
Update Script,7,485,23.608338116248547,110.90416905812427
Analyze Document,29,57,79.88596112753811,60.042980563769056
Fix API,73,217,70.863998185703,100.73199909285151
Write Report,80,176,79.09798153771351,98.74899076885676
Test Module,72,69,38.15843881411146,54.47921940705573
Update Script,33,161,73.6323099601332,78.91615498006661
Analyze Document,16,145,60.59900284513704,64.09950142256852
Fix API,30,493,42.684831209314424,128.9424156046572
Write Report,62,251,60.61008577738217,99.10504288869109
Test Module,31,480,29.427765351635603,120.0138826758178
Update Script,70,116,50.36013273689097,69.38006636844548
Analyze Document,40,131,26.565969534583896,51.48298476729195
Fix API,15,219,56.67370962394931,76.63685481197466
Write Report,53,232,31.866145459058664,78.23307272952934
Test Module,5,242,58.503809547425334,79.15190477371267
Update Script,17,201,39.24136217493003,64.92068108746503
Analyze Document,69,181,12.621739104514967,63.21086955225749
Fix API,56,78,49.09393793752498,56.94696896876249
Write Report,50,429,68.84456459726272,135.22228229863137
Test Module,39,324,18.390416529370675,85.69520826468533
Update Script,55,67,24.686143085592565,42.24307154279628
Analyze Document,46,258,33.23192217516474,82.01596108758238
Fix API,25,322,77.57218759815702,110.68609379907852
Write Report,21,441,14.60733649444752,101.80366824722375
Test Module,79,289,75.76084284824,119.38042142412
Update Script,14,447,20.645605028274105,103.92280251413706
Analyze Document,24,476,32.75407591535162,118.77703795767582
Fix API,47,50,39.045438780033656,43.622719390016826
Write Report,51,252,51.4710735495484,91.4355367747742
Test Module,66,451,33.38969390700046,126.69484695350023
Update Script,65,279,31.085978921076098,90.84298946053806
Analyze Document,55,340,49.827759569334376,109.41387978466719
Fix API,40,441,22.67181924882331,111.53590962441166
Write Report,16,490,22.95248383255772,114.27624191627886
Test Module,62,152,74.04486203140041,86.0224310157002
Update Script,53,145,35.70912566095104,62.75456283047552
Analyze Document,37,418,66.08733128630462,127.74366564315231
Fix API,27,234,13.197917397351288,61.49895869867565
Write Report,64,158,59.64099102629622,80.62049551314811
Test Module,71,446,76.52570103265056,148.76285051632527
Update Script,76,289,50.26947419330203,105.73473709665103
Analyze Document,14,236,56.06216236352025,79.43108118176013
Fix API,52,353,71.60951294921483,122.00475647460742
Write Report,35,128,18.533046771967165,45.366523385983584
Test Module,69,335,40.63323308133526,108.01661654066763
Update Script,35,92,60.52650677522475,59.16325338761238
Analyze Document,27,125,25.33316143560276,45.76658071780138
Fix API,70,231,38.83190961744813,86.61595480872407
Write Report,66,219,22.913363771358096,75.05668188567905
Test Module,35,206,54.762315995082304,79.08115799754115
Update Script,45,417,41.01424143327901,117.40712071663951
Analyze Document,41,483,69.46395843189543,143.63197921594772
Fix API,12,407,26.455307814261804,98.2276539071309
Write Report,18,436,64.78961665156717,124.9948083257836
Test Module,71,435,75.68020321273806,146.14010160636903
Update Script,13,419,79.18361116215115,127.2918055810756
Analyze Document,69,291,21.51336080833137,89.65668040416568
Fix API,28,415,16.340730855351616,99.57036542767581
Write Report,34,273,43.20038301350448,86.40019150675224
Test Module,21,397,21.336676335159265,96.36833816757964
Update Script,62,352,10.476384577871032,94.23819228893552
Analyze Document,5,310,23.043020089580512,75.02151004479026
Fix API,35,484,77.63441415596682,146.11720707798344
Write Report,5,497,73.95847729411798,137.879238647059
Test Module,8,107,19.69075438781514,33.64537719390757
Update Script,44,383,36.37313513332691,107.98656756666347
Analyze Document,58,384,11.635669195807356,100.0178345979037
Fix API,15,66,26.81598397358368,31.107991986791845
Write Report,65,295,30.523653364692542,93.76182668234627
Test Module,44,423,29.30821128975794,112.45410564487898
Update Script,46,153,25.672781217713034,57.23639060885652
Analyze Document,68,374,20.23964934286231,105.31982467143115
Fix API,13,90,79.90240773870703,61.85120386935351
Write Report,49,292,63.60711866634239,104.9035593331712
Test Module,31,402,18.761075789000675,99.08053789450034
Update Script,47,143,24.89225048284115,55.14612524142058
Analyze Document,35,206,49.265603714053384,76.3328018570267
Fix API,40,206,57.28529218885464,81.84264609442732
Write Report,33,138,45.51500672181016,60.257503360905076
Test Module,45,325,41.445887458607764,99.22294372930388
Update Script,10,341,71.95163453430324,107.17581726715161
Analyze Document,29,272,50.31301555550832,88.25650777775417
Fix API,11,192,23.431126945858715,53.415563472929364
Write Report,54,170,19.12246797971698,59.761233989858496
Test Module,68,453,59.32213744338476,140.66106872169237
Update Script,15,261,31.10059473802485,72.25029736901243
Analyze Document,12,346,35.83846519052944,90.71923259526471
Fix API,36,122,60.98335583327248,65.69167791663625
Write Report,13,441,71.82941349627009,128.01470674813504
Test Module,14,338,17.515464025945988,80.557732012973
Update Script,67,108,29.361276646460574,56.380638323230286
Analyze Document,44,218,33.44525233070004,73.52262616535002
Fix API,18,67,69.80757265202112,53.70378632601056
Write Report,40,254,53.357337023615294,89.47866851180765
Test Module,23,180,11.783462794380297,48.79173139719015
Update Script,64,342,54.40814670833519,114.8040733541676
Analyze Document,62,290,11.89482938900119,82.54741469450059
Fix API,7,53,34.327904383404174,29.86395219170209
Write Report,60,327,28.73773451608232,97.76886725804117
Test Module,16,446,16.125822376550197,102.0629111882751
Update Script,51,337,33.08408717093723,99.24204358546862
Analyze Document,38,423,47.66511878598146,119.83255939299075
Fix API,32,152,22.415036109201594,51.2075180546008
Write Report,34,392,74.98260752121439,126.0913037606072
Test Module,18,143,44.940746405483324,56.47037320274166
Update Script,77,298,30.594515151391956,97.99725757569598
Analyze Document,72,255,39.907581272436104,92.55379063621805
Fix API,77,473,13.40579228740193,124.40289614370097
Write Report,12,248,60.86924571565697,83.63462285782849
Test Module,27,139,20.609871823738473,46.204935911869235
Update Script,9,195,63.304126453915096,73.35206322695755
Analyze Document,5,111,15.328684734824567,31.364342367412284
Fix API,14,176,36.974922840738984,57.8874614203695
Write Report,38,162,12.355398507717144,49.97769925385857
Test Module,48,406,72.16441198495235,131.68220599247616
Update Script,16,149,28.87144313500967,49.03572156750484
Analyze Document,71,382,57.81295009204575,126.60647504602288
Fix API,53,125,33.831475124933476,57.81573756246674
Write Report,57,165,64.55499036224037,82.37749518112018
Test Module,53,87,74.966333628988,70.783166814494
Update Script,75,362,66.45731740073373,128.12865870036688
Analyze Document,30,161,27.864978371904126,55.13248918595207
Fix API,56,192,37.55622713747436,73.97811356873719
Write Report,37,395,73.33817549538307,126.76908774769153
Test Module,76,329,45.36689251621602,111.283446258108
Update Script,28,57,72.87480503522355,56.23740251761177
Analyze Document,27,119,32.72092227651147,48.260461138255735
Fix API,80,469,18.908688739998272,127.25434436999915
Write Report,69,479,40.42842704452092,136.71421352226048
Test Module,60,472,13.37051866480952,119.08525933240476
Update Script,6,393,37.234433343136274,99.01721667156815
Analyze Document,57,278,72.17552837674617,108.78776418837309
Fix API,61,380,37.1452003200642,112.87260016003209
Write Report,58,225,29.811943089871612,77.3059715449358
Test Module,45,265,24.628575388360503,78.81428769418025
Update Script,16,51,69.35870266699192,49.67935133349596
Analyze Document,53,459,13.532566427406922,114.46628321370348
Fix API,5,356,14.89659062785645,80.14829531392823
Write Report,28,435,53.20778085632487,122.00389042816244
Test Module,76,71,34.01564351695998,54.00782175847999
Update Script,72,260,77.0702020442586,112.13510102212929
Analyze Document,27,257,30.391006715956703,74.69550335797835
Fix API,63,463,25.451038845376118,124.22551942268805
Write Report,65,275,68.76224965842863,108.88112482921431
Test Module,14,96,12.346528003990015,29.57326400199501
Update Script,38,328,12.116773409725186,83.05838670486261
Analyze Document,35,457,43.15765433623677,123.47882716811839
Fix API,7,104,18.244810420587086,32.02240521029354
Write Report,57,445,68.87206003112979,140.5360300155649
Test Module,39,98,12.451421018040538,37.52571050902027
Update Script,18,284,42.76314060053214,83.58157030026607
Analyze Document,49,214,77.07813351063177,96.03906675531589
Fix API,48,393,17.17834322894179,101.5891716144709
Write Report,76,124,12.061623764897742,53.630811882448874
Test Module,27,360,48.861835446534016,104.53091772326701
Update Script,16,223,14.840712110916398,56.8203560554582
Analyze Document,70,142,42.994762255496255,70.89738112774813
Fix API,79,230,16.912243389606015,78.156121694803
Write Report,39,142,60.146120024091246,70.17306001204562
Test Module,39,260,56.18516543167155,91.79258271583578
Update Script,7,420,79.90418432959234,126.05209216479616
Analyze Document,30,442,25.599648449442725,110.19982422472137
Fix API,52,152,57.54093513037378,74.77046756518689
Write Report,23,398,66.50166561469341,119.75083280734671
Test Module,80,68,62.56132907217754,68.88066453608877
Update Script,64,453,50.03258199837007,134.81629099918504
Analyze Document,53,265,51.779484462694676,94.78974223134735
Fix API,29,310,16.655589695352813,79.0277948476764
Write Report,56,69,42.34185824669602,51.77092912334801
Test Module,41,118,12.283333957395161,42.04166697869758
Update Script,60,185,35.78771458342724,72.89385729171362
Analyze Document,37,122,65.76466642487796,68.38233321243898
Fix API,54,415,71.94207460516427,135.17103730258214
Write Report,47,366,47.7607698365954,111.1803849182977
Test Module,28,383,42.97270822710564,106.48635411355284
Update Script,14,157,29.512924724527966,50.35646236226398
Analyze Document,43,175,22.660124917150355,59.230062458575176
Fix API,74,137,70.34293019389361,84.7714650969468
Write Report,24,460,12.700758755006172,105.55037937750309
Test Module,9,201,50.55145462853973,68.17572731426986
Update Script,23,319,46.411855852912446,93.90592792645623
Analyze Document,52,298,46.01114645613551,98.20557322806776
Fix API,73,106,53.1996819255247,69.69984096276235
Write Report,9,85,16.79954321408783,28.099771607043913
Test Module,40,369,32.58877380520189,102.09438690260095
Update Script,20,174,34.946489290650874,58.27324464532544
Analyze Document,43,400,76.16004552204978,130.98002276102488
Fix API,57,409,14.168203983346057,105.98410199167303
Write Report,47,241,44.85858578553578,84.72929289276789
Test Module,39,269,78.73290635280546,104.86645317640273
Update Script,19,364,61.20636078537973,109.10318039268986
Analyze Document,70,148,48.52580982162827,74.86290491081414
Fix API,70,60,10.77527277795731,38.387636388978656
Write Report,57,409,77.482526829251,137.6412634146255
Test Module,25,77,21.10014638855358,33.45007319427679
Update Script,66,392,45.05679238687535,120.72839619343767
Analyze Document,68,449,75.05197508512494,147.72598754256248
Fix API,71,258,39.487838809130274,92.64391940456514
Write Report,24,393,13.441427639252254,92.52071381962614
Test Module,38,103,57.386927773517876,60.693463886758934
Update Script,9,259,13.867120768973292,61.433560384486654
Analyze Document,36,267,69.5477232439229,98.97386162196145
Fix API,20,102,43.983480319493445,48.391740159746725
Write Report,5,342,77.498646187502,108.64932309375101
Test Module,68,496,73.79114365325313,156.49557182662656
Update Script,14,300,79.54489029935623,103.97244514967812
Analyze Document,68,266,51.282716458128874,99.24135822906443
Fix API,52,314,65.41825665478592,111.10912832739297
Write Report,57,357,28.84068702241471,102.92034351120735
Test Module,27,427,59.74111342593763,123.3705567129688
Update Script,31,390,47.23493883575764,110.91746941787882
Analyze Document,17,393,17.591360947487438,92.49568047374372
Fix API,65,86,44.918131708611305,59.15906585430565
Write Report,26,67,22.67544106675784,32.537720533378916
Test Module,12,403,57.158275542703215,112.77913777135161
Update Script,43,217,46.90870113028287,79.75435056514144
Analyze Document,47,334,77.54754155878011,119.67377077939005
Fix API,37,249,23.100373415947974,72.450186707974
Write Report,35,411,33.21219717283992,109.30609858641996
Test Module,41,194,42.672329414933664,72.43616470746683
Update Script,26,201,60.24633925251386,78.12316962625692
Analyze Document,57,151,26.14844358442097,60.374221792210484
Fix API,58,446,74.64830606465591,143.92415303232795
Write Report,37,423,43.350351877205675,117.37517593860284
Test Module,27,268,78.57429740514205,100.98714870257103
Update Script,74,137,22.060614519473518,60.63030725973676
Analyze Document,13,308,15.677440560821351,73.33872028041067
Fix API,21,152,28.66486664258312,51.03243332129156
Write Report,35,430,55.867502084075234,124.43375104203761
Test Module,41,346,58.040444096951475,110.52022204847574
Update Script,60,363,48.48125754978046,114.84062877489023
Analyze Document,61,260,32.92045842912687,86.76022921456342
Fix API,80,454,79.45384582489169,154.52692291244585
Write Report,55,465,20.293088223707038,119.64654411185352
Test Module,16,378,16.97002129973655,88.88501064986828
Update Script,41,337,45.07047182797154,102.23523591398578
Analyze Document,80,450,69.10623180466104,148.55311590233052
Fix API,71,120,71.48130508124426,81.04065254062212
Write Report,20,146,47.20229396243291,58.80114698121646
Test Module,51,51,65.87485350747212,58.43742675373606
Update Script,39,479,26.23234518613077,120.6161725930654
Analyze Document,53,143,32.93573516256532,60.96786758128266
Fix API,21,426,46.69323064373066,114.84661532186533
Write Report,18,177,31.74943678618566,56.67471839309283
Test Module,63,336,46.58828606188348,109.39414303094173
Update Script,44,222,70.93008864349167,93.06504432174584
Analyze Document,69,71,59.88807252806503,64.84403626403251
Fix API,37,307,48.997542622202786,96.9987713111014
Write Report,64,460,36.251333088855674,129.32566654442783
Test Module,78,241,42.172994278359056,92.68649713917952
Update Script,58,295,21.256501747215687,87.02825087360785
Analyze Document,53,397,44.25011484053247,117.42505742026624
Fix API,71,73,41.521760232590765,56.66088011629539
Write Report,31,99,76.5539717896705,67.37698589483526
Test Module,32,76,74.16821139709367,61.88410569854683
Update Script,51,442,78.31055070569404,142.85527535284703
Analyze Document,43,175,73.95407688397617,84.87703844198808
Fix API,63,85,68.8268504480342,70.3134252240171
Write Report,74,420,11.709721454484335,112.05486072724217
Test Module,74,306,30.27314113463532,98.53657056731767
Update Script,66,146,45.30750949667689,71.65375474833844
Analyze Document,70,235,38.17277632179638,87.0863881608982
Fix API,8,60,39.29490671332036,34.04745335666018
Write Report,73,500,65.8079091402056,154.8039545701028
Test Module,38,478,24.88088706528917,119.4404435326446
Update Script,17,445,26.0996578378668,107.1498289189334
Analyze Document,43,462,50.6041259203953,130.60206296019766
Fix API,8,407,59.90381902307506,113.75190951153755
Write Report,39,407,65.48022648936106,125.84011324468054
Test Module,53,432,49.07038097641569,126.83519048820786
Update Script,59,51,69.05732929844743,62.42866464922371
Analyze Document,73,154,43.2389371487413,74.31946857437066
Fix API,71,498,48.73264986559932,145.26632493279968
Write Report,23,170,28.816546926134066,55.30827346306703
Test Module,43,128,27.365876620305528,52.182938310152764
Update Script,51,314,44.37909590037956,100.28954795018979
Analyze Document,71,302,30.18879155934698,96.7943957796735
Fix API,37,94,68.1221066546048,63.9610533273024
Write Report,39,258,42.17135113966654,84.38567556983327
Test Module,18,379,27.19872585187673,94.79936292593837
Update Script,28,275,18.484780280770558,72.64239014038527
Analyze Document,70,51,32.563185375828965,47.481592687914485
Fix API,78,267,45.39029048435294,99.49514524217648
Write Report,14,183,30.656138306360138,56.12806915318007
Test Module,48,253,57.082834529982414,93.54141726499121
Update Script,38,316,75.09247676157455,112.14623838078728
Analyze Document,21,116,12.90683995047046,35.953419975235235
Fix API,47,307,73.22279916301913,112.11139958150957
Write Report,10,240,34.749533066663375,68.3747665333317
Test Module,79,72,79.59126146067817,77.8956307303391
Update Script,37,61,19.125756387636173,32.86287819381809
Analyze Document,69,472,53.08830148403711,141.64415074201855
Fix API,49,67,23.177288902465015,39.688644451232506
Write Report,70,332,11.50832822109791,93.15416411054896
Test Module,26,160,26.53508631145838,53.06754315572918
Update Script,53,119,46.90112816627564,63.15056408313782
Analyze Document,59,279,32.40623115210569,89.70311557605285
Fix API,11,260,24.259095288561255,67.42954764428063
Write Report,64,252,37.3989568443973,88.29947842219866
Test Module,30,367,12.43475550186458,88.61737775093229
Update Script,64,407,66.17098438132139,133.6854921906607
Analyze Document,62,176,32.77317753105247,70.18658876552624
Fix API,75,115,28.57538987344877,59.787694936724385
Write Report,74,188,62.35403997592199,90.977019987961
Test Module,79,54,34.30181544600403,51.650907723002014
Update Script,74,425,67.065641962511,140.7328209812555
Analyze Document,29,182,36.35140638401067,63.27570319200533
Fix API,50,208,32.000005106941344,72.60000255347067
Write Report,35,272,49.03123105418138,89.4156155270907
Test Module,40,427,60.00929083496706,127.40464541748354
Update Script,31,382,39.38568365596486,105.39284182798244
Analyze Document,59,268,28.767230476726755,85.68361523836337
Fix API,39,229,60.565977190857915,87.78298859542896
Write Report,74,298,47.73315419761488,105.66657709880744
Test Module,50,75,22.08228805512992,41.04114402756496
Update Script,54,143,39.38902409745634,64.49451204872817
Analyze Document,55,278,75.7225758024392,109.96128790121959
Fix API,13,90,47.830380810543254,45.81519040527162
Write Report,23,60,12.569996080131434,25.184998040065715
Test Module,41,239,72.21974417995062,96.2098720899753
Update Script,76,425,53.589969676450394,134.5949848382252
Analyze Document,24,266,10.791836291952569,65.79591814597629
Fix API,56,233,39.20613791887486,83.00306895943743
Write Report,52,59,36.814514019337665,45.80725700966883
Test Module,52,386,23.289025232781913,104.44451261639095
Update Script,39,272,46.26198812241439,89.2309940612072
Analyze Document,34,303,77.4848480594203,109.54242402971015
Fix API,26,486,79.28042691470462,144.6402134573523
